From	Entry	GeneID	Organism	Entry Name	Interacts with
MAN1C1	Q9NR34	57134;	Homo sapiens (Human)	MA1C1_HUMAN	O95363; Q9HB07
DHRS7B	Q6IAN0	25979;	Homo sapiens (Human)	DRS7B_HUMAN	
RRP7A	Q9Y3A4	27341;	Homo sapiens (Human)	RRP7A_HUMAN	Q9H6L4; Q96GN5; O95257; Q9UBB9
CGGBP1	Q9UFW8	8545;	Homo sapiens (Human)	CGBP1_HUMAN	A0A087WZT3; Q16543; P55273; Q9UFW8; Q86V42; O76003; Q9H8Y8; Q6IN84; Q96HA8; P26367; O75928-2; Q9NRD5; O15160; Q04864; Q04864-2; O00560; Q99757
OSR2	Q8N2R0	116039;	Homo sapiens (Human)	OSR2_HUMAN	P25788; Q3LI64
PFKM	P08237	5213;	Homo sapiens (Human)	PFKAM_HUMAN	P17858; P08237; Q8IUQ4
PPARGC1A	Q9UBK2	10891;	Homo sapiens (Human)	PRGC1_HUMAN	P11474; P62508; P62508-3; P41235; P42704; P37231; P10826-2
INTS6	Q9UL03	26512;	Homo sapiens (Human)	INT6_HUMAN	P33993
UTP23	Q9BRU9	84294;	Homo sapiens (Human)	UTP23_HUMAN	A8MQ03; Q08379; P28799; Q15323; O76011; O76015; Q6A162; Q8IUG1; P60370; P60410; P60411; P60328; Q6FHY5; Q9UJV3-2; Q8NI38; Q7Z3S9; P0DPK4; O76083; P15884; Q96N21; Q12933; Q96RU7; P36406; P14373
EYA4	O95677	2070;	Homo sapiens (Human)	EYA4_HUMAN	
C1orf216	Q8TAB5	127703;	Homo sapiens (Human)	CA216_HUMAN	Q9NYB9-2; Q13155; A2BDD9; Q4VCS5-2; Q96GS4; P27797; Q96JN2-2; Q8NCU1; Q01850; Q86X02; Q9H3R5; Q53EZ4; Q8N5K1; Q9NRP2; P17661; P36957; Q9NPF5; O00303; O00471; A1L4K1; Q9UJY5; Q9UJY5-4; P17302; P28799; P54257; Q9BT25; Q8IY31-3; O60333-2; Q9BS75; A1A4E9; P19012; P08779; Q2M2I5; Q7Z3Y8; Q15323; Q14525; O76011; O76013-2; O76015; Q6A163; Q6A162; O95678; Q01546; Q9BV99; P43360; Q99750; Q9NPJ6; Q9NYP9; Q9BV36; Q96HT8; Q5JR59; Q5JR59-3; Q8NFW9; Q7Z6G3-2; Q8TDX7; Q13287; Q96F24; P37198; Q96M63; P16284; Q96KN3; Q96I34; P62333; P20339; Q15311; Q9UJW9; Q13573; Q7Z699; P37173; Q9NVV9; Q08117; Q8N6Q1; Q05BL1; P09493; P06753; Q5VU62; Q13077; Q9BYV2; Q6ZMU5; Q8N6Y0; P08670; Q8N1B4; O76024; Q6ZNG0
ZSCAN32	Q9NX65	54925;	Homo sapiens (Human)	ZSC32_HUMAN	Q14145; Q9Y6D9; P57086; Q12933; P17029; Q969J2; P17028; Q9NWS9-2; O43309; P10073; Q9NX65
RASA2	Q15283	5922;	Homo sapiens (Human)	RASA2_HUMAN	
ZNF90	Q03938	7643;	Homo sapiens (Human)	ZNF90_HUMAN	
CNNM1	Q9NRU3	26507;	Homo sapiens (Human)	CNNM1_HUMAN	O75031; Q93096; Q12974
SF1	Q15637	7536;	Homo sapiens (Human)	SF01_HUMAN	P42684; O60308; Q8IWX8; O76071; Q92841; P17844; Q92567; Q99729; O14979; Q7Z7F0; P52294; P52292; O60684; Q6PEX3; Q13064; P55345; O75400; P25788; Q96I25; Q15637; Q15459; Q15428; Q12872; Q86WT6; P26368; Q8TAS1; Q80V31; Q8CGZ0; Q68FD5; Q3TCX3; Q60960; P52293; O35343; Q3USH5; P26369; P54253; O43639; Q9UHX1-2; Q96I25; Q15436; O14787-2; Q9NX01; P26368-2; Q9BZL1
ENOX2	Q16206	10495;	Homo sapiens (Human)	ENOX2_HUMAN	Q96Q77; Q8TC92; P43364-2; Q6P2C6; P09012; O00463
AKR7A2	O43488	8574;	Homo sapiens (Human)	ARK72_HUMAN	O95154; Q92870-2; P54252; Q8WWM9; Q9Y2K1
